0.46,11.63,1.44,36.5,0,j0
0.47,11.84,1.46,37.2,¼,J0_1
0.47,12.04,1.49,37.8,½,J0_2
0.48,12.24,1.51,38.5,¾,J0_3
0.49,12.45,1.54,39.1,1,j1
0.5,12.65,1.56,39.7,1¼,J1_1
0.51,12.85,1.59,40.4,1½,J1_2
0.51,13.06,1.61,41,1¾,J1_3
0.52,13.26,1.64,41.7,2,j2
0.53,13.46,1.67,42.3,2¼,J2_1
0.54,13.67,1.69,42.9,2½,J2_2
0.55,13.87,1.72,43.6,2¾,J2_3
0.55,14.07,1.74,44.2,3,j3
0.56,14.27,1.77,44.8,3¼,J3_1
0.57,14.48,1.79,45.5,3½,J3_2
0.58,14.68,1.82,46.1,3¾,J3_3
0.59,14.88,1.84,46.8,4,j4
0.59,15.09,1.87,47.4,4¼,J4_1
0.6,15.29,1.89,48,4½,J4_2
0.61,15.49,1.92,48.7,4¾,J4_3
0.62,15.7,1.94,49.3,5,j5
0.63,15.9,1.97,50,5¼,J5_1
0.63,16.1,1.99,50.6,5½,J5_2
0.64,16.31,2.02,51.2,5¾,J5_3
0.65,16.51,2.04,51.9,6,j6
0.66,16.71,2.07,52.5,6¼,J6_1
0.67,16.92,2.09,53.1,6½,J6_2
0.67,17.12,2.12,53.8,6¾,J6_3
0.68,17.32,2.14,54.4,7,j7
0.69,17.53,2.17,55.1,7¼,J7_1
0.7,17.73,2.19,55.7,7½,J7_2
0.71,17.93,2.22,56.3,7¾,J7_3
0.71,18.14,2.24,57,8,j8
0.72,18.34,2.27,57.6,8¼,J8_1
0.73,18.54,2.29,58.3,8½,J8_2
0.74,18.75,2.32,58.9,8¾,J8_3
0.75,18.95,2.34,59.5,9,j9
0.75,19.15,2.37,60.2,9¼,J9_1
0.76,19.35,2.39,60.8,9½,J9_2
0.77,19.56,2.42,61.4,9¾,J9_3
